Country_Code,Country_Name,Region,Income_Group,Year,Government_Effectiveness,Control_of_Corruption,Political_Stability,Rule_Of_Law,Regulatory_Quality,Voice_and_Accountability,Public_Sector_Employment_Share,FP.CPI.TOTL.ZG,IC.FRM.DURS,IT.NET.USER.ZS,NE.CON.GOVT.ZS,NY.GDP.PCAP.CD,NY.GDP.PCAP.PP.CD,SE.ADT.LITR.ZS,SE.XPD.TOTL.GD.ZS,SH.MED.PHYS.ZS,SI.POV.GINI,SI.POV.UMIC,SL.GDP.PCAP.EM.KD,SL.TLF.BASC.FE.ZS,SL.TLF.BASC.MA.ZS,SL.UEM.TOTL.FE.NE.ZS,SL.UEM.TOTL.NE.ZS,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,NGDPDPC,Private,Public
ABW,Aruba,Latin America & Caribbean,High income,2004,1.2813886404037476,1.1659653186798096,0.993218183517456,0.915526807308197,0.7629538178443909,0.737520694732666,,2.52912946932762,,23.0,22.8866788053061,23700.6319899197,35059.2730980113,,4.35698986053467,,,,,,,,,73.223,70.0812659246346,23700.571,,
ABW,Aruba,Latin America & Caribbean,High income,2005,1.2875980138778689,1.2696630954742432,1.3764159679412842,0.847438395023346,0.8640743494033813,1.15323007106781,,3.39778677828806,,25.4,22.8359748330604,24171.8371325422,35098.7976687362,,4.62321996688843,,,,,,,,,73.415,70.1082457815982,24171.995,,
ABW,Aruba,Latin America & Caribbean,High income,2006,1.279817819595337,1.2513132095336914,1.3034605979919434,0.8104313015937805,0.8552867770195007,1.0172734260559082,,3.60802438784541,,28.0,22.3230008475629,24845.65848362,35937.5946548103,,,,,,,,,,,73.498,70.0432423932699,24845.66,,
ABW,Aruba,Latin America & Caribbean,High income,2007,1.2466012239456177,1.2618709802627563,1.286568522453308,0.826464056968689,0.8772063255310059,0.9721288681030272,,5.39256784475517,,30.9,21.4144525595569,26736.3089444046,37768.5660136644,,4.70254993438721,,,,,,,6.53,5.71,73.642,69.9343596964395,26736.575,,
ABW,Aruba,Latin America & Caribbean,High income,2008,1.270924687385559,1.276775360107422,1.3163959980010986,0.8472261428833008,0.8947023749351501,0.9671981930732728,,8.95598705177784,,52.0,21.2483204015552,28171.9094008501,38904.9992478386,,4.82730007171631,,,,,,,,,73.783,69.8030254231656,28172.075,,
ABW,Aruba,Latin America & Caribbean,High income,2009,1.4966564178466797,1.109147548675537,1.121554255485535,1.4262067079544067,1.2893006801605225,1.2523435354232788,,-2.13542872046937,,58.0,24.8330340013432,25134.7712303589,34339.9391561123,,5.79739999771118,,,,,,,,,73.974,69.6689236610772,25134.689,,
ABW,Aruba,Latin America & Caribbean,High income,2010,1.2464534044265747,1.1212955713272097,1.1008473634719849,1.4161136150360107,1.3448377847671509,1.281883716583252,,2.07814071860787,,62.0,26.4651444384815,24093.1401510626,33729.5119101741,97.0,6.75109004974365,,,,,,,10.43,10.6,74.297,69.7093798538659,24093.07,,
ABW,Aruba,Latin America & Caribbean,High income,2011,1.2364304065704346,1.1029465198516846,1.2857377529144287,1.3224583864212036,1.317276954650879,1.2735878229141235,,4.31629742195203,,69.0,25.1084551379907,25712.3843015186,35324.0720643325,,5.91466999053955,,,,,,,7.8,8.9,74.578,69.9067151246274,25712.438,,
ABW,Aruba,Latin America & Caribbean,High income,2012,1.2475881576538086,1.0952359437942505,1.2638815641403198,1.3097883462905884,1.40213143825531,1.2846497297286987,,0.627471992893373,,74.0,26.1779453788038,25119.6655449838,34095.6471714416,,6.3472900390625,,,,,,,,,74.841,69.9961184511146,25119.747,,
ABW,Aruba,Latin America & Caribbean,High income,2013,1.221081256866455,1.1196006536483765,1.3122262954711914,1.2926331758499146,1.420879602432251,1.2780632972717283,,-2.37206524252261,,78.9,26.1933038710376,25813.5767274227,35901.653313159,,6.44295978546143,,,,,,,,,75.072,69.911025522268,25813.523,,
ABW,Aruba,Latin America & Caribbean,High income,2014,0.8874942660331726,1.0140010118484497,1.1645678281784058,1.0364248752593994,1.2453608512878418,1.2768323421478271,,0.421440918881214,,83.8,24.8237406320455,26129.8390617693,35657.2871970529,,4.85704946517944,,,,,,,,,75.261,69.6785895668577,26129.732,,
ABW,Aruba,Latin America & Caribbean,High income,2015,0.8475992679595947,1.2483011484146118,1.2102395296096802,1.2271379232406616,1.3581424951553345,1.27399480342865,,0.474763597342641,,88.7,23.2556955609808,27458.2253310273,35972.8664446515,,5.88826990127563,,,,,,,,,75.405,69.3250915443276,27458.248,,
ABW,Aruba,Latin America & Caribbean,High income,2016,0.8529057502746582,1.2326933145523071,1.2607585191726685,1.2266480922698977,1.3357449769973757,1.279492735862732,,-0.931195987079561,,93.5,23.4875270259162,27441.5296617282,36117.5082112517,,5.49136018753052,,,,,,,,,75.54,68.8920853714879,27441.561,,
ABW,Aruba,Latin America & Caribbean,High income,2017,0.8759697079658508,1.2396140098571775,1.313845992088318,1.2958426475524902,1.181481122970581,1.2956544160842896,,-1.02828178762012,,97.2,23.021623543388,28440.051963759,37524.9284784013,,4.45618057250977,,,,,,,,,75.62,68.4348414128373,28440.093,,
